keyword,category,is_age_proxy,is_control,is_movie,is_viral,is_platform_event,platform_driven,has_persistence_reason
Ermahgerd,age_proxy,1,0,0,1,0,1,0
Nyan Cat,age_proxy,1,0,0,1,0,1,0
Trollface,age_proxy,1,0,0,0,1,1,0
Whomst,age_proxy,1,0,0,0,1,1,0
Dat boi,age_proxy,1,0,0,1,0,1,0
Deez nuts,age_proxy,1,0,0,1,0,1,0
Big Chungus,age_proxy,1,0,0,1,0,1,0
Bing chilling,age_proxy,1,0,0,1,0,1,0
Ligma,age_proxy,1,0,0,0,1,1,0
Sugma,age_proxy,1,0,0,0,1,1,0
Updog,age_proxy,1,0,0,0,1,1,0
Kekw,age_proxy,1,0,0,0,1,1,0
Reeee,age_proxy,1,0,0,0,1,1,0
Stonks,age_proxy,1,0,0,1,0,1,0
Sadge,age_proxy,1,0,0,0,1,1,0
Malding,age_proxy,1,0,0,0,1,1,0
Pepega,age_proxy,1,0,0,0,1,1,0
Kappa,age_proxy,1,0,0,0,1,1,0
Wombo combo,age_proxy,1,0,0,1,0,1,0
Press F to pay respects,age_proxy,1,0,0,1,0,1,0
Bofa,age_proxy,1,0,0,0,1,1,0
Sugondese,age_proxy,1,0,0,0,1,1,0
Nae nae,age_proxy,1,0,0,1,0,1,0
Ayy lmao,age_proxy,1,0,0,0,1,1,0
FeelsBadMan,age_proxy,1,0,0,0,1,1,0
FeelsGoodMan,age_proxy,1,0,0,0,1,1,0
MonkaS,age_proxy,1,0,0,0,1,1,0
PogChamp,age_proxy,1,0,0,0,1,1,0
Rekt,age_proxy,1,0,0,0,0,1,0
N00b,age_proxy,1,0,0,0,0,1,0
Leeroy Jenkins,age_proxy,1,0,0,1,0,1,0
All your base are belong to us,age_proxy,1,0,0,1,0,1,0
O RLY,age_proxy,1,0,0,0,1,1,0
Fail whale,age_proxy,1,0,0,0,1,1,0
U mad bro,age_proxy,1,0,0,0,1,1,0
Heckin chonker,age_proxy,1,0,0,0,1,1,0
Ight Imma head out,age_proxy,1,0,0,1,0,1,0
Sad boi hours,age_proxy,1,0,0,0,1,1,0
Thot (slang),age_proxy,1,0,0,0,0,1,0
Doot doot (meme),age_proxy,1,0,0,1,0,1,0
Kermit sipping tea,age_proxy,1,0,0,1,0,1,0
Loss (meme),age_proxy,1,0,0,1,0,1,0
Woman yelling at cat,age_proxy,1,0,0,1,0,1,0
Chocolate rain,age_proxy,1,0,0,1,0,1,0
Keyboard cat,age_proxy,1,0,0,1,0,1,0
Peanut butter jelly time,age_proxy,1,0,0,1,0,1,0
David after dentist,age_proxy,1,0,0,1,0,1,0
Charlie bit my finger,age_proxy,1,0,0,1,0,1,0
Hawk Tuah,age_proxy,1,0,0,1,0,1,1
Italian brainrot,age_proxy,1,0,0,0,1,1,1
skibidi toilet,age_proxy,1,0,0,0,1,1,1
sus among us,age_proxy,1,0,0,0,1,1,1
On Wednesdays we wear pink meme,age_proxy,1,0,1,0,0,1,1
Sigma grindset,age_proxy,1,0,0,0,1,1,1
Fanum tax,age_proxy,1,0,0,1,0,1,1
Only in Ohio meme,age_proxy,1,0,0,0,1,1,1
Baby Gronk,age_proxy,1,0,0,1,0,1,1
VSCO girl,age_proxy,1,0,0,0,1,1,0
bussin,age_proxy,1,0,0,0,1,1,0
cheugy,age_proxy,1,0,0,1,0,1,0
gyat,age_proxy,1,0,0,1,0,1,0
lit,age_proxy,1,0,0,0,0,0,0
no cap,age_proxy,1,0,0,0,0,0,0
on fleek,age_proxy,1,0,0,0,1,1,0
rizz,age_proxy,1,0,0,0,0,1,0
simp,age_proxy,1,0,0,0,0,1,0
throw shade,age_proxy,1,0,0,0,0,0,0
yeet,age_proxy,1,0,0,1,0,1,0
Do it for the vine,age_proxy,1,0,0,0,1,1,0
Netflix and chill,age_proxy,1,0,0,0,0,0,0
Ok boomer,age_proxy,1,0,0,1,0,1,0
E-girl aesthetic,age_proxy,1,0,0,0,1,1,0
Sksksk,age_proxy,1,0,0,0,1,1,0
And I oop,age_proxy,1,0,0,1,0,1,0
Sheesh (slang),age_proxy,1,0,0,0,1,1,0
Poggers,age_proxy,1,0,0,0,1,1,0
Vibe check,age_proxy,1,0,0,0,0,1,0
Understood the assignment,age_proxy,1,0,0,0,0,1,0
Zoomer generation,age_proxy,1,0,0,0,0,0,0
Down bad,age_proxy,1,0,0,0,0,1,0
Big yikes,age_proxy,1,0,0,0,0,0,0
Delulu,age_proxy,1,0,0,0,0,0,0
Girl dinner,age_proxy,1,0,0,0,1,1,0
Mewing,age_proxy,1,0,0,0,1,1,0
Aura points,age_proxy,1,0,0,0,1,1,0
Weeb,age_proxy,1,0,0,0,0,0,1
Otaku,age_proxy,1,0,0,0,0,0,1
Waifu,age_proxy,1,0,0,0,0,0,1
Baka,age_proxy,1,0,0,0,0,0,1
Kawaii,age_proxy,1,0,0,0,0,0,1
Maknae,age_proxy,1,0,0,0,0,0,1
