keyword,category,era,geo,surge_number,rough_peak_date,rel_to_anchor,data_mode,event_start_date,event_end_date,peak_value,peak_width_days,time_to_peak_days,tight_pad_days,width_truncated,possible_weekly_resolution,never_decays_in_scope
Ermahgerd,age_proxy,baseline,global,1,10/1/2015,1,plain text (no entity match found),10/15/2015,11/1/2015,100,17,1,45,0,0,0
Nyan Cat,age_proxy,baseline,global,1,12/1/2015,1,plain text (no entity match found),12/28/2014,11/20/2016,100,693,343,360,1,1,1
Trollface,age_proxy,baseline,global,1,12/1/2015,1,plain text (no entity match found),12/28/2014,11/20/2016,100,693,357,360,1,1,1
Whomst,age_proxy,baseline,global,1,2/1/2017,1,plain text (no entity match found),1/29/2017,3/25/2017,100,55,7,90,0,0,0
Dat boi,age_proxy,baseline,global,1,5/1/2016,1,plain text (no entity match found),5/1/2016,6/20/2016,100,50,8,90,0,0,0
Deez nuts,age_proxy,baseline,global,1,8/1/2015,1,plain text (no entity match found),8/19/2015,8/28/2015,100,9,1,45,0,0,0
Big Chungus,age_proxy,baseline,global,1,1/1/2019,1,plain text (no entity match found),12/22/2018,2/2/2019,100,42,17,45,0,0,0
Bing chilling,age_proxy,reels_covid,global,1,12/1/2022,1,plain text (no entity match found),11/13/2022,12/31/2022,100,48,4,45,1,0,1
Bing chilling,age_proxy,ai_gen,global,2,1/1/2023,0.5714,plain text (no entity match found),1/1/2023,2/15/2023,100,45,5,45,1,0,1
Ligma,age_proxy,baseline,global,1,7/1/2018,1,plain text (no entity match found),7/18/2018,7/30/2018,100,12,4,45,0,0,0
Sugma,age_proxy,baseline,global,1,7/1/2018,1,plain text (no entity match found),7/20/2018,8/5/2018,100,16,5,45,0,0,0
Sugma,age_proxy,reels_covid,global,2,8/1/2021,0.6667,plain text (no entity match found),7/27/2021,9/3/2021,100,38,2,45,0,0,0
Updog,age_proxy,baseline,global,1,7/1/2018,1,plain text (no entity match found),7/26/2018,8/7/2018,100,12,3,45,0,0,0
Updog,age_proxy,reels_covid,global,2,8/1/2020,0.875,plain text (no entity match found),8/4/2020,8/9/2020,100,5,1,45,0,0,0
Updog,age_proxy,ai_gen,global,3,12/1/2024,0.625,plain text (no entity match found),12/19/2024,2/1/2025,100,44,6,90,0,0,0
Kekw,age_proxy,reels_covid,global,1,4/1/2021,1,plain text (no entity match found),4/27/2021,5/1/2021,100,4,2,45,0,0,0
Reeee,age_proxy,baseline,global,1,10/1/2018,1,plain text (no entity match found),9/22/2018,10/13/2018,100,21,18,45,0,0,0
Reeee,age_proxy,reels_covid,global,2,1/1/2020,0.8,plain text (no entity match found),1/1/2020,1/9/2020,100,8,6,45,1,0,1
Stonks,age_proxy,baseline,global,1,10/1/2019,0.55,plain text (no entity match found),6/9/2019,12/29/2019,100,203,126,180,1,1,1
Stonks,age_proxy,reels_covid,global,2,3/1/2020,1,plain text (no entity match found),1/1/2020,5/30/2020,100,150,71,90,1,0,1
Sadge,age_proxy,reels_covid,global,1,3/1/2021,1,plain text (no entity match found),5/17/2020,12/25/2022,100,952,294,720,1,1,1
Malding,age_proxy,baseline,global,1,7/1/2019,1,plain text (no entity match found),6/26/2019,7/3/2019,100,7,4,45,0,0,0
Malding,age_proxy,reels_covid,global,2,1/1/2020,1,plain text (no entity match found),2/19/2020,3/2/2020,100,12,4,90,0,0,0
Malding,age_proxy,ai_gen,global,3,1/1/2023,1,plain text (no entity match found),1/1/2023,1/30/2023,100,29,4,45,1,0,1
Pepega,age_proxy,baseline,global,1,1/1/2019,1,plain text (no entity match found),10/14/2018,12/29/2019,100,441,77,720,1,1,1
Pepega,age_proxy,reels_covid,global,2,4/1/2020,1,plain text (no entity match found),12/29/2019,9/27/2020,100,273,91,180,1,1,1
Kappa,age_proxy,baseline,global,1,9/1/2015,1,plain text (no entity match found),12/28/2014,8/21/2016,100,602,77,360,1,1,1
Kappa,age_proxy,reels_covid,global,2,1/1/2020,0.93,plain text (no entity match found),1/1/2020,2/15/2020,100,45,8,45,1,0,1
Kappa,age_proxy,ai_gen,global,3,2/1/2026,0.95,plain text (no entity match found),2/2/2025,9/13/2026,100,588,378,360,1,1,1
Wombo combo,age_proxy,baseline,global,1,1/1/2015,1,plain text (no entity match found),1/1/2015,2/15/2015,100,45,10,45,1,0,1
Wombo combo,age_proxy,reels_covid,global,2,3/1/2021,0.5,plain text (no entity match found),3/10/2021,3/21/2021,100,11,3,45,0,0,0
Wombo combo,age_proxy,ai_gen,global,3,9/1/2025,1,plain text (no entity match found),9/15/2025,10/17/2025,100,32,12,90,0,0,0
Press F to pay respects,age_proxy,baseline,global,1,11/1/2018,1,plain text (no entity match found),11/11/2018,11/17/2018,100,6,1,45,0,0,0
Press F to pay respects,age_proxy,reels_covid,global,2,1/1/2020,0.5,plain text (no entity match found),1/3/2020,1/12/2020,100,9,3,45,0,0,0
Bofa,age_proxy,baseline,global,1,2/1/2015,1,plain text (no entity match found),1/1/2015,3/18/2015,100,76,29,45,1,0,1
Bofa,age_proxy,reels_covid,global,2,6/1/2020,0.75,plain text (no entity match found),12/29/2019,11/22/2020,100,329,105,180,1,1,1
Bofa,age_proxy,ai_gen,global,3,9/1/2025,1,plain text (no entity match found),9/10/2023,9/13/2026,100,1099,945,720,1,1,1
Sugondese,age_proxy,baseline,global,1,7/1/2018,1,plain text (no entity match found),7/22/2018,8/12/2018,100,21,2,45,0,0,0
Nae nae,age_proxy,baseline,global,1,9/1/2015,1,plain text (no entity match found),5/3/2015,2/21/2016,100,294,126,180,0,1,0
