keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
All your base are belong to us,age_proxy,baseline,220,69,151,75,25,50,145,44,101,34.1,36.2,33.1,312,363,303,1744543,3446732,966722,2,16,2,108746959,108746959,53716713,383799460,237824508,145975022,
And I oop,age_proxy,baseline,150,124,26,74,55,19,76,69,7,49.3,44.4,73.1,974,731,7167,71059,60967,119187,61,73,61,2489325,2489325,1474793,10658850,7559908,3098862,
Aura points,age_proxy,ai_gen,300,284,16,272,257,15,28,27,1,90.7,90.5,93.8,35138,38966,16623,2717535,2864542,108167,3,3,21,81373462,81373462,1004419,815260500,813529928,1730672,
Ayy lmao,age_proxy,baseline,494,389,105,64,47,17,430,342,88,13,12.1,16.2,97,93,102,13426,4407,46842,1,1,7,1242714,510117,1242714,6632444,1714323,4918410,
Baby Gronk,age_proxy,ai_gen,330,197,133,238,138,100,92,59,33,72.1,70.1,75.2,3181,2718,4181,1053989,1660606,155466,2,2,3,81543332,81543332,10823889,347816370,327139382,20676978,
Big Chungus,age_proxy,baseline,497,344,153,358,237,121,139,107,32,72,68.9,79.1,3001,2274,10115,276032,243756,348601,18,18,152,15570410,15570410,10916908,137187904,83852064,53335953,
Big yikes,age_proxy,ai_gen,50,43,7,35,30,5,15,13,2,70,69.8,71.4,3074,2756,39349,15480975,4733012,81504173,0,0,4,570204256,73644705,570204256,774048750,203519516,570529211,
Bing chilling,age_proxy,ai_gen,250,246,4,233,229,4,17,17,0,93.2,93.1,100,5389,5331,35876,2952474,2999551,57254,0,0,12418,141106636,141106636,144847,738118500,737889546,229016,
Bing chilling,age_proxy,reels_covid,134,126,8,123,116,7,11,10,1,91.8,92.1,87.5,37390,37390,50685,3329249,3473742,1053485,81,152,81,70399625,70399625,5909880,446119366,437691492,8427880,
Bofa,age_proxy,baseline,371,258,113,191,114,77,180,144,36,51.5,44.2,68.1,1128,713,3941,250451,23284,769114,2,2,3,51097596,877753,51097596,92917321,6007272,86909882,
Bofa,age_proxy,ai_gen,500,235,265,403,172,231,97,63,34,80.6,73.2,87.2,7639,4762,10969,739236,67051,1335326,0,0,0,340628067,5677314,340628067,369618000,15756985,353861390,
Bofa,age_proxy,reels_covid,500,179,321,276,77,199,224,102,122,55.2,43,62,1317,747,2403,9085,3659,12111,1,6,1,323204,68549,323204,4542500,654961,3887631,
Charlie bit my finger,age_proxy,reels_covid,350,279,71,86,39,47,264,240,24,24.6,14,66.2,104,71,2948,318215,336739,245425,0,0,12,76650843,76650843,7703189,111375250,93950181,17425175,
Chocolate rain,age_proxy,baseline,200,113,87,47,14,33,153,99,54,23.5,12.4,37.9,182,138,308,193362,1634,442388,5,5,5,13117056,86117,13117056,38672400,184642,38487756,
Chocolate rain,age_proxy,ai_gen,500,427,73,258,236,22,242,191,51,51.6,55.3,30.1,1146,1337,40,369496,412847,115921,0,0,0,52774767,52774767,4921270,184748000,176285669,8462233,
Chocolate rain,age_proxy,reels_covid,110,63,47,36,13,23,74,50,24,32.7,20.6,48.9,222,44,906,7631092,129265,17686733,1,1,6,224679082,6181725,224679082,839420120,8143695,831276451,
Dat boi,age_proxy,baseline,250,209,41,94,74,20,156,135,21,37.6,35.4,48.8,418,397,985,110503,109560,115312,11,11,14,17457416,17457416,3415060,27625750,22898040,4727792,
David after dentist,age_proxy,baseline,104,50,54,30,7,23,74,43,31,28.8,14,42.6,256,171,354,41384,52366,31215,6,6,10,2573331,2573331,1531766,4303936,2618300,1685610,
